N° da fatura,Data da fatura,ID Cliente,País,Quantidade,Valor
548370,3/30/2021 16:14:00,15528,United Kingdom,123,"229,33"
575767,11/11/2021 11:11:00,17348,United Kingdom,163,"209,73"
C570727,10/12/2021 11:32:00,12471,Germany,-1,"-1,45"
549106,4/6/2021 12:08:00,17045,United Kingdom,1,"39,95"
573112,10/27/2021 15:33:00,16416,United Kingdom,357,"344,83"
576630,11/16/2021 8:38:00,13816,Germany,91,"199,98"
538125,12/9/2020 15:46:00,18225,United Kingdom,16,"30,00"
544354,2/18/2021 10:42:00,13489,United Kingdom,64,"77,28"
546369,3/11/2021 11:41:00,15513,United Kingdom,10,"67,50"
570651,10/11/2021 13:34:00,14911,EIRE,86,"321,35"
C543628,2/10/2021 15:51:00,16558,United Kingdom,-5,"-9,25"
539736,12/21/2020 15:18:00,,United Kingdom,143,"1172,46"
537823,12/8/2020 14:25:00,,United Kingdom,1484,"6073,71"
575581,11/10/2021 11:53:00,12659,France,105,"91,68"
580987,12/6/2021 16:35:00,17389,United Kingdom,96,"720,00"
543754,2/11/2021 14:26:00,18159,United Kingdom,139,"530,15"
542418,1/27/2021 17:39:00,,United Kingdom,-17,"0,00"
C553508,5/17/2021 13:44:00,14000,United Kingdom,-3,"-1,95"
563233,8/14/2021 15:56:00,17988,United Kingdom,1,"2,95"
545417,3/2/2021 13:42:00,15622,United Kingdom,222,"576,00"
C577693,11/21/2021 11:48:00,12628,Germany,-3,"-16,85"
550759,4/20/2021 12:09:00,,United Kingdom,-7,"0,00"
C547309,3/22/2021 11:17:00,17416,United Kingdom,-12,"-45,00"
556427,6/10/2021 13:23:00,,United Kingdom,92,"435,69"
C555404,6/2/2021 18:28:00,17231,United Kingdom,-2,"-19,90"
576571,11/15/2021 13:48:00,12950,United Kingdom,164,"311,60"
550623,4/19/2021 13:56:00,13719,United Kingdom,78,"132,90"
576083,11/14/2021 8:22:00,17404,Sweden,1060,"1238,48"
562417,8/4/2021 16:32:00,,United Kingdom,526,"1691,38"
570733,10/12/2021 11:33:00,17190,United Kingdom,160,"249,74"
537026,12/3/2020 16:35:00,12395,Belgium,528,"346,10"
552837,5/11/2021 14:24:00,12901,United Kingdom,72,"140,04"
C579925,12/1/2021 9:16:00,15544,United Kingdom,-3,"-2,55"
550535,4/19/2021 11:19:00,14211,United Kingdom,72,"155,60"
555213,6/1/2021 12:22:00,13094,United Kingdom,144,"152,64"
549923,4/13/2021 9:59:00,13138,United Kingdom,72,"193,62"
575198,11/9/2021 9:47:00,12921,United Kingdom,19,"71,25"
C549986,4/13/2021 16:03:00,18178,United Kingdom,-2,"-7,50"
569005,9/29/2021 18:30:00,16268,United Kingdom,465,"493,76"
566307,9/12/2021 9:37:00,14307,United Kingdom,323,"656,23"
539049,12/15/2020 16:21:00,15615,United Kingdom,364,"1048,64"
549684,4/11/2021 13:24:00,,United Kingdom,1,"30,00"
580068,12/1/2021 13:41:00,17321,United Kingdom,5,"41,25"
542745,1/31/2021 16:47:00,15881,United Kingdom,154,"339,29"
575525,11/10/2021 11:06:00,13983,United Kingdom,72,"128,88"
C562884,8/10/2021 11:25:00,14056,United Kingdom,-3,"-9,75"
C560842,7/21/2021 12:25:00,14527,United Kingdom,-1,"-12,15"
542936,2/2/2021 11:10:00,,United Kingdom,144,"161,56"
565682,9/6/2021 10:42:00,14796,United Kingdom,467,"835,95"
C562514,8/5/2021 12:20:00,13408,United Kingdom,-1,"-11,95"
562220,8/3/2021 14:19:00,15150,United Kingdom,108,"304,42"
562002,8/1/2021 13:48:00,14567,United Kingdom,172,"800,76"
C561210,7/25/2021 16:58:00,17841,United Kingdom,-10,"-12,50"
C545502,3/3/2021 11:33:00,15078,United Kingdom,-10,"-19,50"
538010,12/9/2020 12:20:00,17526,United Kingdom,40,"226,80"
579089,11/28/2021 10:46:00,17920,United Kingdom,58,"111,11"
560713,7/20/2021 13:09:00,16774,United Kingdom,56,"160,80"
571098,10/13/2021 15:38:00,17841,United Kingdom,200,"437,43"
574994,11/8/2021 11:03:00,17870,United Kingdom,62,"143,11"
570257,10/10/2021 9:56:00,13767,United Kingdom,129,"380,31"
541669,1/20/2021 12:29:00,17315,United Kingdom,172,"331,76"
C560687,7/20/2021 11:51:00,14606,United Kingdom,-28,"-23,37"
C569891,10/6/2021 15:46:00,13924,United Kingdom,-19,"-65,09"
552404,5/9/2021 12:39:00,15932,United Kingdom,262,"305,02"
566035,9/8/2021 13:17:00,12839,United Kingdom,286,"413,58"
576911,11/17/2021 10:01:00,17461,United Kingdom,342,"349,20"
572272,10/21/2021 16:18:00,13171,United Kingdom,60,"132,54"
577783,11/21/2021 16:20:00,18139,United Kingdom,1644,"2786,40"
578757,11/25/2021 11:41:00,12748,United Kingdom,256,"420,41"
C553557,5/17/2021 17:03:00,13266,United Kingdom,-2,"-3,20"
542351,1/27/2021 12:13:00,14560,United Kingdom,39,"152,25"
558245,6/27/2021 16:28:00,,United Kingdom,8,"0,00"
C578090,11/22/2021 17:03:00,12483,Sweden,-2,"-80,00"
559164,7/6/2021 16:39:00,16422,United Kingdom,406,"587,46"
578150,11/23/2021 11:18:00,16020,United Kingdom,10,"16,50"
558770,7/3/2021 15:19:00,12748,United Kingdom,60,"115,55"
C569552,10/4/2021 17:44:00,14533,United Kingdom,-1200,"-84,00"
C550646,4/19/2021 16:32:00,16873,United Kingdom,-6,"-14,40"
C571329,10/17/2021 11:32:00,17706,United Kingdom,-13,"-50,80"
C544557,2/21/2021 12:31:00,17422,United Kingdom,-15,"-55,35"
C539277,12/16/2020 15:37:00,15777,United Kingdom,-3,"-25,50"
C577731,11/21/2021 13:06:00,17811,United Kingdom,-6,"-11,70"
580386,12/4/2021 10:29:00,18065,United Kingdom,50,"188,90"
C553866,5/19/2021 14:14:00,14620,United Kingdom,-26,"-19,50"
570252,10/10/2021 9:14:00,14665,United Kingdom,238,"559,52"
536782,12/2/2020 15:18:00,17567,United Kingdom,244,"517,95"
C544594,2/21/2021 16:58:00,15079,United Kingdom,-1,"-1,95"
571082,10/13/2021 15:25:00,,United Kingdom,479,"1354,71"
551984,5/5/2021 14:37:00,15841,United Kingdom,234,"281,66"
C554931,5/27/2021 13:21:00,17841,United Kingdom,-4,"-5,00"
564476,8/25/2021 12:57:00,12610,Italy,168,"309,50"
540353,1/6/2021 14:53:00,13764,United Kingdom,282,"499,89"
558706,7/1/2021 12:52:00,16839,United Kingdom,320,"416,96"
566278,9/11/2021 14:05:00,13614,United Kingdom,67,"302,15"
540477,1/7/2021 14:49:00,13233,United Kingdom,404,"304,24"
569695,10/5/2021 15:35:00,16843,United Kingdom,938,"993,88"
C556920,6/15/2021 13:49:00,13047,United Kingdom,-3,"-13,85"
C543469,2/8/2021 14:55:00,12709,Germany,-12,"-83,98"
538308,12/10/2020 13:29:00,14107,United Kingdom,268,"363,24"
549054,4/6/2021 10:21:00,17719,United Kingdom,109,"312,19"
555626,6/6/2021 11:55:00,16103,United Kingdom,92,"270,80"
